full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,61416,61416,10046,53,53,13,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9215,9215,14638,0,0,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1372,1372,2354,2,2,3,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,44296,44296,3800,23,23,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,53892,53892,5397,45,45,7,https://github.com/shanraisshan/claude-code-best-practice
Alishahryar1/free-claude-code,26454,26454,3943,135,135,22,https://github.com/Alishahryar1/free-claude-code
musistudio/claude-code-router,34163,34163,2784,13,13,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,27423,27423,2805,9,9,1,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,847,847,1194,1,1,3,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,19339,19339,2825,57,57,6,https://github.com/Donchitos/Claude-Code-Game-Studios
oboard/claude-code-rev,3143,3143,3794,1,1,0,https://github.com/oboard/claude-code-rev
VoltAgent/awesome-claude-code-subagents,20159,20159,2332,15,15,1,https://github.com/VoltAgent/awesome-claude-code-subagents
ponponon/claude_code_src,2240,2240,3501,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,7651,7651,1842,1,1,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,10341,10341,1825,7,7,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,2612,2612,1659,8,8,2,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9650,9650,1225,1,1,1,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9172,9172,698,5,5,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,8369,8369,630,4,4,1,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,1112,1112,2296,0,0,2,https://github.com/pedrohcgs/claude-code-my-workflow
hangsman/claude-code-source,780,780,1748,0,0,0,https://github.com/hangsman/claude-code-source
chauncygu/collection-claude-code-source-code,2471,2471,2310,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
affaan-m/ECC,187276,187276,29000,126,126,19,https://github.com/affaan-m/ECC
lintsinghua/claude-code-book,3330,3330,722,-1,-1,3,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5906,5906,557,1,1,2,https://github.com/ChrisWiles/claude-code-showcase
huangserva/claude-code-cli,588,588,1306,1,1,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3804,3804,560,0,0,0,https://github.com/OneRedOak/claude-code-workflows
wanshuiyin/Auto-claude-code-research-in-sleep,10088,10088,968,24,24,6,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
1rgs/claude-code-proxy,3589,3589,467,0,0,0,https://github.com/1rgs/claude-code-proxy
lorryjovens-hub/claude-code-rust,1595,1595,629,1,1,0,https://github.com/lorryjovens-hub/claude-code-rust
nicedreamzapp/claude-code-local,2642,2642,511,4,4,0,https://github.com/nicedreamzapp/claude-code-local
zebbern/claude-code-guide,4145,4145,406,2,2,0,https://github.com/zebbern/claude-code-guide
FlorianBruniaux/claude-code-ultimate-guide,4420,4420,583,3,3,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
disler/claude-code-hooks-mastery,3690,3690,616,1,1,1,https://github.com/disler/claude-code-hooks-mastery
777genius/claude-code-source-code,913,913,1110,0,0,0,https://github.com/777genius/claude-code-source-code
Maciek-roboblog/Claude-Code-Usage-Monitor,8015,8015,406,4,4,1,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
anthropics/claude-code-security-review,4656,4656,456,4,4,1,https://github.com/anthropics/claude-code-security-review
kodu-ai/claude-coder,5278,5278,201,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2366,2366,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
RichardAtCT/claude-code-telegram,2607,2607,383,2,2,0,https://github.com/RichardAtCT/claude-code-telegram
fuergaosi233/claude-code-proxy,2607,2607,382,2,2,0,https://github.com/fuergaosi233/claude-code-proxy
Windy3f3f3f3f/how-claude-code-works,2401,2401,573,2,2,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
multica-ai/andrej-karpathy-skills,138609,138609,14220,746,746,87,https://github.com/multica-ai/andrej-karpathy-skills
anthropics/skills,137740,137740,16247,132,132,14,https://github.com/anthropics/skills
alejandrobalderas/claude-code-from-source,1944,1944,587,2,2,1,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2877,2877,323,0,0,2,https://github.com/ding113/claude-code-hub
fazxes/Claude-code,216,216,212,0,0,0,https://github.com/fazxes/Claude-code
Cranot/claude-code-guide,2758,2758,307,0,0,0,https://github.com/Cranot/claude-code-guide
rohitg00/awesome-claude-code-toolkit,1738,1738,546,2,2,0,https://github.com/rohitg00/awesome-claude-code-toolkit
SeemSeam/claude_codex_bridge,2718,2718,267,1,1,0,https://github.com/SeemSeam/claude_codex_bridge
luyao618/Claude-Code-Source-Study,1392,1392,510,0,0,0,https://github.com/luyao618/Claude-Code-Source-Study
AprilNEA/claude-code-source,383,383,616,0,0,0,https://github.com/AprilNEA/claude-code-source
anthropics/claude-code-base-action,841,841,605,0,0,1,https://github.com/anthropics/claude-code-base-action
https-deeplearning-ai/sc-claude-code-files,514,514,738,0,0,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
repowise-dev/claude-code-prompts,1016,1016,365,0,0,0,https://github.com/repowise-dev/claude-code-prompts
sickn33/antigravity-awesome-skills,38069,38069,6221,34,34,5,https://github.com/sickn33/antigravity-awesome-skills
guanshan/ClaudeCode,59,59,213,0,0,0,https://github.com/guanshan/ClaudeCode
JrCx7scC/claude-code-source,368,368,543,0,0,0,https://github.com/JrCx7scC/claude-code-source
edmund-io/edmunds-claude-code,1438,1438,285,0,0,0,https://github.com/edmund-io/edmunds-claude-code
luongnv89/claude-howto,33560,33560,4108,34,34,2,https://github.com/luongnv89/claude-howto
Pimzino/claude-code-spec-workflow,3738,3738,265,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
Yeachan-Heo/oh-my-claudecode,34316,34316,3144,27,27,0,https://github.com/Yeachan-Heo/oh-my-claudecode
carlvellotti/claude-code-pm-course,2028,2028,327,0,0,0,https://github.com/carlvellotti/claude-code-pm-course
AICoderTudou/claude-code-tudou,502,502,401,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
Windy3f3f3f3f/claude-code-from-scratch,1237,1237,370,0,0,1,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
andrew-kramer-inno/claude-code-source-build,589,589,523,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
wshobson/agents,35679,35679,3877,12,12,0,https://github.com/wshobson/agents
ghuntley/claude-code-source-code-deobfuscation,978,978,553,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
nanocoai/nanoclaw,29067,29067,12832,9,9,2,https://github.com/nanocoai/nanoclaw
feiskyer/claude-code-settings,1515,1515,222,0,0,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1107,1107,242,0,0,0,https://github.com/sugyan/claude-code-webui
