full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,77462,77462,12461,15,15,5,https://github.com/shareAI-lab/learn-claude-code
Alishahryar1/free-claude-code,55714,55714,8913,31,31,4,https://github.com/Alishahryar1/free-claude-code
ChinaSiro/claude-code-sourcemap,9685,9685,14598,0,0,1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1795,1795,2612,0,0,2,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,54459,54459,4749,19,19,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,66252,66252,6586,10,10,4,https://github.com/shanraisshan/claude-code-best-practice
davila7/claude-code-templates,31191,31191,3548,126,126,12,https://github.com/davila7/claude-code-templates
musistudio/claude-code-router,37381,37381,3146,2,2,2,https://github.com/musistudio/claude-code-router
LING71671/Open-ClaudeCode,959,959,1220,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,25366,25366,3619,3,3,0,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,25272,25272,2918,8,8,1,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3300,3300,3810,0,0,0,https://github.com/oboard/claude-code-rev
anthropics/claude-code-action,8927,8927,2152,2,2,0,https://github.com/anthropics/claude-code-action
ponponon/claude_code_src,2338,2338,3525,0,0,0,https://github.com/ponponon/claude_code_src
techjarves/ClaudeCode-Portable,1508,1508,496,0,0,0,https://github.com/techjarves/ClaudeCode-Portable
Piebald-AI/claude-code-system-prompts,12746,12746,2043,6,6,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3949,3949,2065,1,1,0,https://github.com/liuup/claude-code-analysis
pedrohcgs/claude-code-my-workflow,1598,1598,3051,0,0,2,https://github.com/pedrohcgs/claude-code-my-workflow
ykdojo/claude-code-tips,10130,10130,818,4,4,0,https://github.com/ykdojo/claude-code-tips
diet103/claude-code-infrastructure-showcase,10025,10025,1222,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,9641,9641,722,-2,-2,0,https://github.com/frankbria/ralph-claude-code
lintsinghua/claude-code-book,4271,4271,836,1,1,0,https://github.com/lintsinghua/claude-code-book
chauncygu/collection-claude-code-source-code,2838,2838,2457,0,0,0,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,795,795,1752,0,0,0,https://github.com/hangsman/claude-code-source
wanshuiyin/Auto-claude-code-research-in-sleep,16534,16534,1406,27,27,3,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
ChrisWiles/claude-code-showcase,6072,6072,577,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
FlorianBruniaux/claude-code-ultimate-guide,6017,6017,789,4,4,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,3325,3325,629,1,1,0,https://github.com/nicedreamzapp/claude-code-local
