full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,70504,70504,11485,26,26,3,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9516,9516,14694,1,1,0,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1625,1625,2527,3,3,0,https://github.com/pengchengneo/Claude-Code
Alishahryar1/free-claude-code,39382,39382,6297,19,19,2,https://github.com/Alishahryar1/free-claude-code
hesreallyhim/awesome-claude-code,49669,49669,4319,21,21,2,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62366,62366,6242,11,11,3,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35715,35715,2941,1,1,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,28551,28551,3020,3,3,2,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,912,912,1215,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,22798,22798,3278,8,8,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23127,23127,2700,11,11,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3244,3244,3829,0,0,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2313,2313,3535,0,0,0,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8314,8314,1959,3,3,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11726,11726,1999,8,8,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3498,3498,1943,4,4,2,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9734,9734,1214,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1388,1388,2735,1,1,3,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9521,9521,726,1,1,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9144,9144,711,4,4,1,https://github.com/ykdojo/claude-code-tips
