full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
shareAI-lab/learn-claude-code,70783,70783,11525,30,30,6,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9533,9533,14696,2,2,0,https://github.com/ChinaSiro/claude-code-sourcemap
Alishahryar1/free-claude-code,39817,39817,6499,21,21,1,https://github.com/Alishahryar1/free-claude-code
pengchengneo/Claude-Code,1635,1635,2531,1,1,0,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,49882,49882,4357,12,12,0,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,62493,62493,6249,9,9,0,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,35755,35755,2950,5,5,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,29276,29276,3206,66,66,4,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,915,915,1218,0,0,0,https://github.com/LING71671/Open-ClaudeCode
Donchitos/Claude-Code-Game-Studios,22908,22908,3287,8,8,1,https://github.com/Donchitos/Claude-Code-Game-Studios
VoltAgent/awesome-claude-code-subagents,23244,23244,2711,9,9,0,https://github.com/VoltAgent/awesome-claude-code-subagents
oboard/claude-code-rev,3250,3250,3826,0,0,0,https://github.com/oboard/claude-code-rev
ponponon/claude_code_src,2315,2315,3534,-1,-1,-1,https://github.com/ponponon/claude_code_src
anthropics/claude-code-action,8332,8332,1962,2,2,-1,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,11786,11786,2002,12,12,0,https://github.com/Piebald-AI/claude-code-system-prompts
liuup/claude-code-analysis,3519,3519,1947,2,2,1,https://github.com/liuup/claude-code-analysis
diet103/claude-code-infrastructure-showcase,9736,9736,1214,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
pedrohcgs/claude-code-my-workflow,1402,1402,2752,1,1,2,https://github.com/pedrohcgs/claude-code-my-workflow
frankbria/ralph-claude-code,9530,9530,727,0,0,0,https://github.com/frankbria/ralph-claude-code
ykdojo/claude-code-tips,9213,9213,721,5,5,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2754,2754,2430,2,2,1,https://github.com/chauncygu/collection-claude-code-source-code
hangsman/claude-code-source,787,787,1759,0,0,0,https://github.com/hangsman/claude-code-source
lintsinghua/claude-code-book,3910,3910,792,2,2,0,https://github.com/lintsinghua/claude-code-book
ChrisWiles/claude-code-showcase,5990,5990,560,0,0,0,https://github.com/ChrisWiles/claude-code-showcase
wanshuiyin/Auto-claude-code-research-in-sleep,13320,13320,1202,9,9,1,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
huangserva/claude-code-cli,618,618,1309,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3880,3880,564,0,0,0,https://github.com/OneRedOak/claude-code-workflows
FlorianBruniaux/claude-code-ultimate-guide,5424,5424,710,2,2,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2935,2935,563,0,0,0,https://github.com/nicedreamzapp/claude-code-local
1rgs/claude-code-proxy,3685,3685,480,1,1,1,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,4397,4397,445,2,2,0,https://github.com/zebbern/claude-code-guide
anthropics/claude-code-security-review,5527,5527,587,1,1,0,https://github.com/anthropics/claude-code-security-review
lorryjovens-hub/claude-code-rust,1666,1666,639,0,0,0,https://github.com/lorryjovens-hub/claude-code-rust
disler/claude-code-hooks-mastery,3825,3825,628,0,0,0,https://github.com/disler/claude-code-hooks-mastery
affaan-m/ECC,228987,228987,35108,62,62,15,https://github.com/affaan-m/ECC
rohitg00/awesome-claude-code-toolkit,2305,2305,796,2,2,1,https://github.com/rohitg00/awesome-claude-code-toolkit
zstmfhy/Claude-code,190,190,284,0,0,0,https://github.com/zstmfhy/Claude-code
alejandrobalderas/claude-code-from-source,2702,2702,741,3,3,0,https://github.com/alejandrobalderas/claude-code-from-source
Maciek-roboblog/Claude-Code-Usage-Monitor,8435,8435,433,0,0,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
Windy3f3f3f3f/how-claude-code-works,3144,3144,666,2,2,1,https://github.com/Windy3f3f3f3f/how-claude-code-works
777genius/claude-code-source-code,920,920,1098,0,0,1,https://github.com/777genius/claude-code-source-code
ding113/claude-code-hub,3236,3236,374,0,0,0,https://github.com/ding113/claude-code-hub
fuergaosi233/claude-code-proxy,2722,2722,404,0,0,0,https://github.com/fuergaosi233/claude-code-proxy
RichardAtCT/claude-code-telegram,2731,2731,401,1,1,-1,https://github.com/RichardAtCT/claude-code-telegram
kodu-ai/claude-coder,5257,5257,198,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2399,2399,406,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
fazxes/Claude-code,225,225,216,0,0,0,https://github.com/fazxes/Claude-code
SeemSeam/claude_codex_bridge,3252,3252,315,3,3,0,https://github.com/SeemSeam/claude_codex_bridge
Cranot/claude-code-guide,2842,2842,320,0,0,0,https://github.com/Cranot/claude-code-guide
multica-ai/andrej-karpathy-skills,191288,191288,19637,87,87,13,https://github.com/multica-ai/andrej-karpathy-skills
Windy3f3f3f3f/claude-code-from-scratch,2256,2256,483,2,2,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
